ra,dec,insmag_V,insmagerr_V,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.61616,-0.06324,-11.074,0.019,19.0189,0.0087,18.3835,0.0044,18.0806,0.0042,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.58851,-0.0625,-11.601,0.014,18.4649,0.0049,17.9099,0.0024,17.6665,0.0029,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.53532,-0.06241,-10.715,0.029,19.7046,0.0097,18.4253,0.004,17.0,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.52837,-0.06021,-13.405,0.01,16.8264,0.0043,15.8205,0.0025,15.422,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.52745,-0.05847,-10.003,0.079,20.3386,0.0162,19.1028,0.0064,18.3988,0.0033,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.65005,-0.0609,-12.881,0.01,17.2777,0.0038,16.5305,0.002,16.2402,0.0017,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.66963,-0.06169,-11.147,0.017,18.8836,0.0056,18.4816,0.0052,18.3135,0.0046,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.51318,-0.06161,-9.62,0.19,20.4314,0.028,19.7322,0.0107,19.4015,0.0085,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.61263,-0.05917,-13.976,0.01,16.1692,0.0018,15.4127,0.0023,15.1088,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.44514,-0.05955,-12.902,0.01,17.1513,0.003,16.52,0.0012,16.2799,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63632,-0.05999,-11.143,0.018,19.2179,0.0063,18.0081,0.0028,17.1256,0.0024,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.62243,-0.06082,-9.788,0.052,20.1407,0.0095,19.7811,0.01,19.6219,0.0094,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.47187,-0.05936,-11.517,0.015,18.8327,0.0055,17.6342,0.0026,17.0342,0.0033,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45311,-0.0599,-9.887,0.05,20.2388,0.0112,19.4265,0.0062,19.1048,0.0067,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.5403,-0.05954,-10.532,0.028,19.721,0.0212,18.7352,0.0045,18.3228,0.004,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63857,-0.05955,-10.168,0.036,20.0928,0.0146,18.9918,0.0057,18.4867,0.004,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
