ra,dec,insmag_B,insmagerr_B,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.5313,0.05978,-9.545,0.063,17.0276,0.0029,16.577,0.0019,16.4176,0.0021,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.67477,0.06587,-7.757,0.358,19.2844,0.0052,18.9514,0.0063,18.7891,0.0045,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.47953,0.07092,-10.873,0.024,15.6349,0.0028,14.9869,0.0022,14.7118,0.0017,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.4462,0.07395,-9.993,0.104,16.5916,0.0027,15.8963,0.0023,15.6239,0.0014,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.64595,0.07734,-9.726,0.074,21.3122,0.0455,20.1865,0.0178,19.3283,0.0071,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.47682,0.08305,-11.61,0.015,15.0515,0.0021,14.7245,0.0018,14.6138,0.0023,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.45317,0.08596,-10.033,0.039,16.3914,0.0032,15.483,0.002,15.1335,0.0021,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.48943,0.09124,-10.296,0.036,16.2787,0.0028,15.8168,0.002,15.6393,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.59174,0.09203,-10.594,0.027,15.9283,0.0022,15.4411,0.0021,15.2726,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.45584,0.09325,-11.275,0.016,15.2987,0.0022,14.7612,0.0014,14.5603,0.0019,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.61146,0.09778,-10.096,0.04,16.4896,0.0025,15.9477,0.0047,15.7163,0.0034,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
